,tweet#,user,tweet,cleanTweet,compound,positive,negative,neutral,cleancompound,cleanpositive,cleannegative,cleanneutral
219,19,@CNN,RT @CNNTonight: The White House defends President Trump's silence on allegations leveled against him by Stormy Daniels https://t.co/xPKWwph…,RT The White House defends President Trump s silence on allegations leveled against him by Stormy Daniels,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
220,20,@CNN,"Heineken has pulled an ad with the tagline ""Sometimes lighter is better"" after critics slammed it as racist.… https://t.co/cJ3fWyLp4y",Heineken has pulled an ad with the tagline Sometimes lighter is better after critics slammed it as racist,0.1779,0.131,0.1,0.769,-0.5106,0.12,0.257,0.622
221,21,@CNN,"Former President Barack Obama says he aspires to create ""a million young Barack Obamas or Michelle Obamas"" who will… https://t.co/1QpomqEwNc",Former President Barack Obama says he aspires to create a million young Barack Obamas or Michelle Obamas who will,0.2732,0.1,0.0,0.9,0.2732,0.11,0.0,0.89
222,22,@CNN,Apple co-founder Steve Jobs warned about privacy issues in tech at a conference in 2010. Facebook's Mark Zuckerberg… https://t.co/z4A3NW8cBb,Apple co founder Steve Jobs warned about privacy issues in tech at a conference in 2010 Facebook s Mark Zuckerberg,-0.2732,0.0,0.11,0.89,-0.2732,0.0,0.11,0.89
223,23,@CNN,"""They didn't have to kill him like that. They didn't have to shoot him that many times."" The grandmother of Stephon… https://t.co/4pvJGbpw9J",They didn t have to kill him like that They didn t have to shoot him that many times The grandmother of Stephon,0.806,0.303,0.0,0.697,-0.6808,0.091,0.257,0.652
224,24,@CNN,"Facebook's stock has plunged 18% amid its data scandal, wiping out nearly $80 billion in market value… https://t.co/qm59i14Pq0",Facebook s stock has plunged 18 amid its data scandal wiping out nearly 80 billion in market value,-0.4404,0.0,0.146,0.854,-0.128,0.118,0.143,0.739
225,25,@CNN,Democrats may already be 35% of the way to a House majority https://t.co/Ya3cFVnqud | Analysis by Harry Enten https://t.co/PKanQAjkpg,Democrats may already be 35 of the way to a House majority Analysis by Harry Enten,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
226,26,@CNN,England's health agency is warning parents to be aware of the signs and symptoms of scarlet fever as infections con… https://t.co/vKJ6QOKqmv,England s health agency is warning parents to be aware of the signs and symptoms of scarlet fever as infections con,-0.34,0.0,0.107,0.893,-0.34,0.0,0.112,0.888
227,27,@CNN,Blue states are far more likely to lose money and power over Census citizenship question | Analysis by CNN's Harry… https://t.co/13EWDxnd6X,Blue states are far more likely to lose money and power over Census citizenship question Analysis by CNN s Harry,-0.4522,0.0,0.135,0.865,-0.4522,0.0,0.141,0.859
228,28,@CNN,"An Ohio fertility clinic says more than 4,000 eggs and embryos were affected by a freezer malfunction, double the n… https://t.co/0EZ5F2Ua6p",An Ohio fertility clinic says more than 4 000 eggs and embryos were affected by a freezer malfunction double the n,-0.1531,0.0,0.078,0.922,-0.1531,0.0,0.086,0.914
229,29,@CNN,"Wall Street bonuses soar 17% to an average of $184,200 https://t.co/qlOQGfehL8 https://t.co/1bw7FWYwwl",Wall Street bonuses soar 17 to an average of 184 200,0.5574,0.247,0.0,0.753,0.5574,0.265,0.0,0.735
230,30,@CNN,"Waymo and Jaguar unveil a self-driving, electric SUV https://t.co/DTylJKCuML https://t.co/2aD3JXwfGM",Waymo and Jaguar unveil a self driving electric SUV,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
231,31,@CNN,11 reasons (besides the NCAA Final Four) to visit San Antonio https://t.co/1YGqpmrZKz via @CNNTravel https://t.co/Vi45YehYXR,11 reasons besides the NCAA Final Four to visit San Antonio via,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
232,32,@CNN,Former Disney Channel star Caroline Sunshine is joining the White House press team https://t.co/rOYDj2tPs1 https://t.co/xamwbkWP7h,Former Disney Channel star Caroline Sunshine is joining the White House press team,0.4939,0.186,0.0,0.814,0.4939,0.211,0.0,0.789
233,33,@CNN,"Walmart says it will stop selling Cosmopolitan magazine in checkout lines 

The National Center on Sexual Exploitat… https://t.co/oJWSfJKGk2",Walmart says it will stop selling Cosmopolitan magazine in checkout lines The National Center on Sexual Exploitat,-0.296,0.0,0.115,0.885,-0.296,0.0,0.121,0.879
234,34,@CNN,"Prince had a ""exceedingly high"" concentration of fentanyl in his body when he died https://t.co/xzXGWvrqky https://t.co/5CBfqJYBNs",Prince had a exceedingly high concentration of fentanyl in his body when he died,-0.5574,0.0,0.205,0.795,-0.5574,0.0,0.231,0.769
235,35,@CNN,"An Ohio fertility clinic says more than 4,000 eggs and embryos were affected by a freezer malfunction, double the n… https://t.co/2kUalNEtFo",An Ohio fertility clinic says more than 4 000 eggs and embryos were affected by a freezer malfunction double the n,-0.1531,0.0,0.078,0.922,-0.1531,0.0,0.086,0.914
236,36,@CNN,President Trump has privately floated the idea of funding construction of a border wall with Mexico through the US… https://t.co/OVJnG1Arkl,President Trump has privately floated the idea of funding construction of a border wall with Mexico through the US,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
237,37,@CNN,"Sean Penn, who has done work in Haiti for years, says he felt ""deep hurt"" following the controversy over Pres. Trum… https://t.co/jkTdsZtERk",Sean Penn who has done work in Haiti for years says he felt deep hurt following the controversy over Pres Trum,-0.5267,0.0,0.139,0.861,-0.5267,0.0,0.145,0.855
238,38,@CNN,"Actor Sean Penn smoked a cigarette during an interview on ""The Late Show With Stephen Colbert,"" and viewers had a s… https://t.co/DYMvSOouIc",Actor Sean Penn smoked a cigarette during an interview on The Late Show With Stephen Colbert and viewers had a s,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
239,39,@CNN,RT @CNNTonight: The White House defends President Trump's silence on allegations leveled against him by Stormy Daniels https://t.co/xPKWwph…,RT The White House defends President Trump s silence on allegations leveled against him by Stormy Daniels,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
240,40,@CNN,"Larry Nassar's former boss at Michigan State University used his power to sexually assault, harass, and solicit nud… https://t.co/X7BiNzGTGV",Larry Nassar s former boss at Michigan State University used his power to sexually assault harass and solicit nud,-0.7906,0.0,0.292,0.708,-0.7906,0.0,0.304,0.696
241,41,@CNN,"RT @AC360: As his administration doubles down on building a border wall, President Trump suggests the US military may foot the bill https:/…",RT As his administration doubles down on building a border wall President Trump suggests the US military may foot the bill https,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
242,42,@CNN,"Progressives, states and civil rights advocates are preparing a flurry of legal challenges to the Trump administrat… https://t.co/COBpw3wtor",Progressives states and civil rights advocates are preparing a flurry of legal challenges to the Trump administrat,0.2023,0.157,0.0,0.843,0.2023,0.167,0.0,0.833
243,43,@CNN,How Russian President Vladimir Putin's arrogance handed UK Prime Minister Theresa May a diplomatic coup… https://t.co/Nub4iViDPH,How Russian President Vladimir Putin s arrogance handed UK Prime Minister Theresa May a diplomatic coup,-0.5267,0.0,0.195,0.805,-0.5267,0.0,0.207,0.793
244,44,@CNN,Is bread crust more nutritious than its inner crumb? The variety you choose may matter more than whether you eat th… https://t.co/clki6ZwPYZ,Is bread crust more nutritious than its inner crumb The variety you choose may matter more than whether you eat th,0.0258,0.05,0.0,0.95,0.0258,0.052,0.0,0.948
245,45,@CNN,"North Korean leader Kim Jong Un met with the China's Xi Jinping during a surprise trip to Beijing this week, state… https://t.co/UHIZDKXeob",North Korean leader Kim Jong Un met with the China s Xi Jinping during a surprise trip to Beijing this week state,0.2732,0.095,0.0,0.905,0.2732,0.1,0.0,0.9
246,46,@CNN,"In Trump's world, once you check in, you rarely check out https://t.co/bHZg0WgmkX https://t.co/uWZA9cEJu8",In Trump s world once you check in you rarely check out,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
247,47,@CNN,The children are Democrats' future | By Jesse Ferguson via @CNNOpinion https://t.co/xBaMfKTzhZ https://t.co/3iFNq6BHav,The children are Democrats future By Jesse Ferguson via,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
248,48,@CNN,FBI Director Christopher Wray said he is doubling the number of FBI personnel tasked with reviewing a large set of… https://t.co/EJynfU7wlW,FBI Director Christopher Wray said he is doubling the number of FBI personnel tasked with reviewing a large set of,0.0772,0.064,0.0,0.936,0.0772,0.067,0.0,0.933
249,49,@CNN,"Attorney for brother of slain DNC staffer Seth Rich: Internet activists are spreading lies ""as far and wide"" as the… https://t.co/XUbhZLGXtJ",Attorney for brother of slain DNC staffer Seth Rich Internet activists are spreading lies as far and wide as the,0.2023,0.142,0.11,0.748,0.2023,0.148,0.115,0.738
250,50,@CNN,Government ethics lawyers advised Ivanka Trump to make sure to keep her White House role separate as she planned to… https://t.co/eeBfMRZNs5,Government ethics lawyers advised Ivanka Trump to make sure to keep her White House role separate as she planned to,0.3182,0.103,0.0,0.897,0.3182,0.108,0.0,0.892
251,51,@CNN,Michael Cohen — President Trump's loyal fixer https://t.co/I3QjtsNaAZ https://t.co/vEdKQK669d,Michael Cohen President Trump s loyal fixer,0.4767,0.307,0.0,0.693,0.4767,0.383,0.0,0.617
252,52,@CNN,Is the White House Counsel's Office looking into Jared Kushner? The answer isn't clear. https://t.co/lbQxxFZlPX https://t.co/Fdas6E1nO6,Is the White House Counsel s Office looking into Jared Kushner The answer isn t clear,-0.2924,0.0,0.127,0.873,0.3818,0.167,0.0,0.833
253,53,@CNN,"RT @AC360: Seth Rich's brother sues right-wing activists, Washington Times over conspiracy theories: @GaryTuchmanCNN reports https://t.co/1…",RT Seth Rich s brother sues right wing activists Washington Times over conspiracy theories reports,-0.5267,0.0,0.185,0.815,0.0516,0.189,0.179,0.632
254,54,@CNN,"Keeping Them Honest: The President sees himself as a “counter-puncher,” but when it comes to Stormy Daniels, all we… https://t.co/i7sXcnh0mI",Keeping Them Honest The President sees himself as a counter puncher but when it comes to Stormy Daniels all we,0.2846,0.107,0.0,0.893,0.2846,0.107,0.0,0.893
255,55,@CNN,The US needs to borrow almost $300 billion this week https://t.co/ZYuVjMl9H5 https://t.co/xqpI8iWojN,The US needs to borrow almost 300 billion this week,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
256,56,@CNN,China raised eyebrows this month by announcing it will give the Economic Community of West African States a $31.6 m… https://t.co/dgRkS4pNdV,China raised eyebrows this month by announcing it will give the Economic Community of West African States a 31 6 m,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
257,57,@CNN,RT @AC360: China confirms: Kim Jong Un made a visit to Beijing https://t.co/mCREpkhOLd https://t.co/qoCsm4ZYzD,RT China confirms Kim Jong Un made a visit to Beijing,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
258,58,@CNN,"Former President George W. Bush may have retired his political penny loafers, but his dancing shoes? Those haven't… https://t.co/K4DjLuftKI",Former President George W Bush may have retired his political penny loafers but his dancing shoes Those haven t,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
259,59,@CNN,"""Tonight, the President, still uncharacteristically silent."" With the news dominated by stories of alleged affairs… https://t.co/ywrY4xrHbh",Tonight the President still uncharacteristically silent With the news dominated by stories of alleged affairs,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
260,60,@CNN,"After spending 23 years in prison for a crime he didn't commit, Nevest Coleman is back working as a groundskeeper f… https://t.co/3wnuYj9ZXQ",After spending 23 years in prison for a crime he didn t commit Nevest Coleman is back working as a groundskeeper f,-0.8266,0.0,0.338,0.662,-0.6808,0.092,0.283,0.625
261,61,@CNN,North Atlantic right whales may be on edge of extinction. There's been zero births this year.… https://t.co/wkHa5e2fwD,North Atlantic right whales may be on edge of extinction There s been zero births this year,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
262,62,@CNN,Presidential misspellings create a spike in dictionary searches https://t.co/clvvRb4A5j https://t.co/jChXBtd8qI,Presidential misspellings create a spike in dictionary searches,0.2732,0.208,0.0,0.792,0.2732,0.259,0.0,0.741
263,63,@CNN,"President Trump has appointed to his cabinet several people who've served as conservative TV pundits, many on Fox N… https://t.co/ENk3znOZj5",President Trump has appointed to his cabinet several people who ve served as conservative TV pundits many on Fox N,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
264,64,@CNN,"Former President Barack Obama says he aspires to create ""a million young Barack Obamas or Michelle Obamas"" who will… https://t.co/l7yBatqodJ",Former President Barack Obama says he aspires to create a million young Barack Obamas or Michelle Obamas who will,0.2732,0.1,0.0,0.9,0.2732,0.11,0.0,0.89
265,65,@CNN,The brother of slain Democratic National Committee staffer Seth Rich is suing right-wing activists and the Washingt… https://t.co/R4cs9PSQVQ,The brother of slain Democratic National Committee staffer Seth Rich is suing right wing activists and the Washingt,0.3612,0.166,0.097,0.737,0.3612,0.166,0.097,0.737
266,66,@CNN,"Cops in Tempe, Arizona, now have AR-15s strapped to the back of their motorcycles https://t.co/olcEquajNB https://t.co/xGVdtixqVC",Cops in Tempe Arizona now have AR 15s strapped to the back of their motorcycles,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
267,67,@CNN,"RT @OutFrontCNN: ""Tonight, the President, still uncharacteristically silent."" - Amid a news cycle dominated by stories of alleged affairs w…",RT Tonight the President still uncharacteristically silent Amid a news cycle dominated by stories of alleged affairs w,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
268,68,@CNN,Three members of the Australian cricket team will be sent home from Johannesburg after admitting during a post-matc… https://t.co/1UMvm0nLLv,Three members of the Australian cricket team will be sent home from Johannesburg after admitting during a post matc,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
269,69,@CNN,Stunning photos capture Egypt's ancient underworld https://t.co/bW90Z7OZ7o https://t.co/8abhSDTKEu,Stunning photos capture Egypt s ancient underworld,0.3818,0.271,0.0,0.729,0.3818,0.342,0.0,0.658
270,70,@CNN,"JUST IN: North Korea leader Kim Jong Un made a surprise two-day trip to Beijing, Chinese state media has confirmed… https://t.co/IW7YZvzjLR",JUST IN North Korea leader Kim Jong Un made a surprise two day trip to Beijing Chinese state media has confirmed,0.2732,0.1,0.0,0.9,0.2732,0.1,0.0,0.9
271,71,@CNN,"Heineken has pulled an ad with the tagline ""Sometimes lighter is better"" after critics slammed it as racist.… https://t.co/8LXiHLTqQH",Heineken has pulled an ad with the tagline Sometimes lighter is better after critics slammed it as racist,0.1779,0.131,0.1,0.769,-0.5106,0.12,0.257,0.622
272,72,@CNN,A new NYPD internal investigation criticizes the way the department handles sexual assaults https://t.co/UALy5XvuiA https://t.co/TNF0zTBLjm,A new NYPD internal investigation criticizes the way the department handles sexual assaults,-0.7096,0.0,0.33,0.67,-0.7096,0.0,0.371,0.629
273,73,@CNN,"""They didn't have to kill him like that. They didn't have to shoot him that many times."" The grandmother of Stephon… https://t.co/WqdgsJQJs6",They didn t have to kill him like that They didn t have to shoot him that many times The grandmother of Stephon,0.806,0.303,0.0,0.697,-0.6808,0.091,0.257,0.652
274,74,@CNN,"Veterans Affairs Secretary David Shulkin appears to be on thin ice with the White House, but some major veterans gr… https://t.co/Tz47JBpTW1",Veterans Affairs Secretary David Shulkin appears to be on thin ice with the White House but some major veterans gr,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
275,75,@CNN,"Former President Barack Obama says he aspires to create ""a million young Barack Obamas or Michelle Obamas"" who will… https://t.co/Dk8k01daZO",Former President Barack Obama says he aspires to create a million young Barack Obamas or Michelle Obamas who will,0.2732,0.1,0.0,0.9,0.2732,0.11,0.0,0.89
276,76,@CNN,Former Disney Channel star Caroline Sunshine is joining the White House press team https://t.co/3kRTmq4lYC https://t.co/EyFCp1K3v3,Former Disney Channel star Caroline Sunshine is joining the White House press team,0.4939,0.186,0.0,0.814,0.4939,0.211,0.0,0.789
277,77,@CNN,"""The widespread prevalence of endometriosis — and the lack of any long-term treatment options — is nothing short of… https://t.co/qygfw6aVFD",The widespread prevalence of endometriosis and the lack of any long term treatment options is nothing short of,-0.3182,0.0,0.119,0.881,-0.3182,0.0,0.119,0.881
278,78,@CNN,"RT @CNNSitRoom: An official with deep knowledge of North Korea told CNN there was a ""strong possibility"" that North Korean leader Kim Jong…",RT An official with deep knowledge of North Korea told CNN there was a strong possibility that North Korean leader Kim Jong,0.5106,0.136,0.0,0.864,0.5106,0.142,0.0,0.858
279,79,@CNN,Uber's self-driving permit in California goes until March 31 -- and the company said it will let the permit expire… https://t.co/sJWdSR2uTu,Uber s self driving permit in California goes until March 31 and the company said it will let the permit expire,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
280,80,@CNN,"RT @CNNOpinion: Learn from the Holocaust and stop the massacre in Syria, write @EvaMozesKor and @MhdAGhanem https://t.co/urdH6TeosD",RT Learn from the Holocaust and stop the massacre in Syria write and,-0.296,0.0,0.121,0.879,-0.296,0.0,0.155,0.845
281,81,@CNN,"The CEO of Waymo, the driverless car division of Google parent company Alphabet, said his company's driverless cars… https://t.co/BSqPEppylZ",The CEO of Waymo the driverless car division of Google parent company Alphabet said his company s driverless cars,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
282,82,@CNN,Some Aetna customers could see lower drug prices next year https://t.co/lYDhNfdyxU https://t.co/WFnbBn5HhA,Some Aetna customers could see lower drug prices next year,-0.296,0.0,0.167,0.833,-0.296,0.0,0.196,0.804
283,83,@CNN,"Don't be an April fool and miss out on what's streaming on Netflix, Hulu and Amazon Prime next month https://t.co/sf2jB37GxA",Don t be an April fool and miss out on what s streaming on Netflix Hulu and Amazon Prime next month,-0.4215,0.073,0.194,0.733,-0.4215,0.077,0.203,0.721
284,84,@CNN,An appeals court said Google violated copyright laws when it used Oracle's open-source Java software to build the A… https://t.co/MEw6qBehlk,An appeals court said Google violated copyright laws when it used Oracle s open source Java software to build the A,-0.5267,0.0,0.152,0.848,-0.5267,0.0,0.159,0.841
285,85,@CNN,Researchers have detailed the structure and distribution of spaces in your body that they say represent a newfound… https://t.co/QAaCP21k8T,Researchers have detailed the structure and distribution of spaces in your body that they say represent a newfound,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
286,86,@CNN,The NFL and Nike just announced that they would be extending their partnership for another eight years https://t.co/bAROWhKLHg,The NFL and Nike just announced that they would be extending their partnership for another eight years,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
287,87,@CNN,"Six days after a ransomware attack shut down the City of Atlanta's online systems, officials are telling employees… https://t.co/okyUlZFUM5",Six days after a ransomware attack shut down the City of Atlanta s online systems officials are telling employees,-0.4767,0.0,0.154,0.846,-0.4767,0.0,0.162,0.838
288,88,@CNN,The census has always been a weapon of political power | Analysis by CNN's Gregory Krieg https://t.co/2eHizX8TE7 https://t.co/Cr6gCfy237,The census has always been a weapon of political power Analysis by CNN s Gregory Krieg,-0.296,0.0,0.128,0.872,-0.296,0.0,0.145,0.855
289,89,@CNN,"Steven Spielberg nixes Carl's Jr.'s ""SpielBurgers"" dreams https://t.co/iz5DyMTxUD https://t.co/K5Vu9d4yHm",Steven Spielberg nixes Carl s Jr s SpielBurgers dreams,0.4019,0.252,0.0,0.748,0.4019,0.31,0.0,0.69
290,90,@CNN,A former professional clown is running for Congress in South Carolina https://t.co/GMfVUgWMob https://t.co/pSpDLGTqgX,A former professional clown is running for Congress in South Carolina,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
291,91,@CNN,There's not a 'snowflake's chance in hell' of repealing the Second Amendment | Analysis by CNN's Z. Byron Wolf… https://t.co/yzVur4ZfQ0,There s not a snowflake s chance in hell of repealing the Second Amendment Analysis by CNN s Z Byron Wolf,-0.7461,0.0,0.284,0.716,-0.7461,0.0,0.312,0.688
292,92,@CNN,White House press secretary Sarah Sanders defended President Trump's silence on allegations leveled against him by… https://t.co/oycTPyBTn1,White House press secretary Sarah Sanders defended President Trump s silence on allegations leveled against him by,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
293,93,@CNN,Secretary of Defense James Mattis on President Trump’s newly named national security adviser John Bolton: “I hope t… https://t.co/WHpD4xHuTI,Secretary of Defense James Mattis on President Trump s newly named national security adviser John Bolton I hope t,0.7003,0.298,0.0,0.702,0.7003,0.343,0.0,0.657
294,94,@CNN,Warren Buffett swooped in to rescue General Electric once. Could he do it again? https://t.co/0aW43nOaAa,Warren Buffett swooped in to rescue General Electric once Could he do it again,0.5106,0.191,0.0,0.809,0.5106,0.202,0.0,0.798
295,95,@CNN,Why the Trump administration's plan to put a citizenship question back on the US census is a big deal… https://t.co/TD01oqVqva,Why the Trump administration s plan to put a citizenship question back on the US census is a big deal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
296,96,@CNN,The US general in charge of the nation's nuclear arsenal has issued a stark warning that Russia and China are aggre… https://t.co/wFSuV1etYq,The US general in charge of the nation s nuclear arsenal has issued a stark warning that Russia and China are aggre,-0.34,0.0,0.107,0.893,-0.34,0.0,0.112,0.888
297,97,@CNN,Michael Phelps calls on the US Olympic Committee to do more to help athletes struggling with depression… https://t.co/Y9pZFED1vl,Michael Phelps calls on the US Olympic Committee to do more to help athletes struggling with depression,0.046,0.137,0.129,0.735,-0.5456,0.127,0.277,0.596
298,98,@CNN,RT @CNNSitRoom: Most Americans say US President Trump isn't doing enough to cooperate with special counsel Robert Mueller's investigation i…,RT Most Americans say US President Trump isn t doing enough to cooperate with special counsel Robert Mueller s investigation i,0.4019,0.124,0.0,0.876,0.4019,0.137,0.0,0.863
299,99,@CNN,"Nearly two thirds of Americans approve of President Trump's plan to meet with North Korean leader Kim Jong Un, acco… https://t.co/6I0Ao6SyVw",Nearly two thirds of Americans approve of President Trump s plan to meet with North Korean leader Kim Jong Un acco,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
300,0,@FoxNews,"Shawn Nelson, Orange County Supervisor, on sanctuary status: “It is unconstitutional.” https://t.co/Wm0g8elAio",Shawn Nelson Orange County Supervisor on sanctuary status It is unconstitutional,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
301,1,@FoxNews,Illegal immigrant Luis Bracamontes gets death penalty for slaying 2 California sheriff's deputies https://t.co/t08Kd4PUbq,Illegal immigrant Luis Bracamontes gets death penalty for slaying 2 California sheriff s deputies,-0.8885,0.0,0.512,0.488,-0.8885,0.0,0.538,0.462
302,2,@FoxNews,"Political analyst Ron Meyer: ""Democrats really care about getting services to people who are here illegally more th… https://t.co/MN2bnL0FXx",Political analyst Ron Meyer Democrats really care about getting services to people who are here illegally more th,0.5413,0.163,0.0,0.837,0.5413,0.17,0.0,0.83
303,3,@FoxNews,An American flag flies from a Westhampton Beach Fire Department ladder following a dignified arrival of the repatri… https://t.co/ltur5AVBv8,An American flag flies from a Westhampton Beach Fire Department ladder following a dignified arrival of the repatri,0.2023,0.155,0.117,0.728,0.2023,0.163,0.122,0.714
304,4,@FoxNews,Vegas police say 5 arrests in MS-13 case solves 10 murders https://t.co/d9QfRG2Zpm https://t.co/GV7NWP48jA,Vegas police say 5 arrests in MS 13 case solves 10 murders,-0.7003,0.117,0.383,0.5,-0.7003,0.124,0.406,0.471
305,5,@FoxNews,".@TomiLahren: “The wall is common sense. The left has dominated this conversation, and they’ve made the wall some k… https://t.co/EQB0LdVwQ0",The wall is common sense The left has dominated this conversation and they ve made the wall some k,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
306,6,@FoxNews,This baby orangutan at the Phoenix Zoo got a front-row seat when a young boy began performing tricks with his yo-yo. https://t.co/TlX7RStMvx,This baby orangutan at the Phoenix Zoo got a front row seat when a young boy began performing tricks with his yo yo,-0.128,0.0,0.073,0.927,-0.128,0.0,0.07,0.93
307,7,@FoxNews,Funeral plans set for Iowa family found dead in Mexico https://t.co/VERjFXZRhk,Funeral plans set for Iowa family found dead in Mexico,-0.7783,0.0,0.43,0.57,-0.7783,0.0,0.459,0.541
308,8,@FoxNews,.@JohnJamesMI: “Donald #Trump is delivering on his promises and the people in the state of Michigan are benefiting… https://t.co/DpM9blM1m3,Donald Trump is delivering on his promises and the people in the state of Michigan are benefiting,0.3818,0.126,0.0,0.874,0.3818,0.14,0.0,0.86
309,9,@FoxNews,Elizabeth Smart claims in new book her kidnapper tried to abduct another girl https://t.co/JhZBVDzVLt,Elizabeth Smart claims in new book her kidnapper tried to abduct another girl,0.4019,0.172,0.0,0.828,0.4019,0.184,0.0,0.816
310,10,@FoxNews,"George Rodriguez: ""Democrats are more interested in sanctuary cities and protecting people that enter the country i… https://t.co/ErlddWXyvm",George Rodriguez Democrats are more interested in sanctuary cities and protecting people that enter the country i,0.4576,0.15,0.0,0.85,0.4576,0.166,0.0,0.834
311,11,@FoxNews,New York Magazine reporter doubles down as outrage grows over alleged home invasion of Corey Lewandowski’s DC crash… https://t.co/LwODxt8F6Z,New York Magazine reporter doubles down as outrage grows over alleged home invasion of Corey Lewandowski s DC crash,-0.5106,0.0,0.155,0.845,-0.7184,0.0,0.273,0.727
312,12,@FoxNews,Dad holds “Say No” sign during proposal https://t.co/OJOXoWr9Hf,Dad holds Say No sign during proposal,0.0,0.0,0.0,1.0,-0.296,0.0,0.268,0.732
313,13,@FoxNews,"Auto crash at Oakland airport injures 2; unlicensed driver arrested, police say https://t.co/Nfmbv1Yvd1",Auto crash at Oakland airport injures 2 unlicensed driver arrested police say,-0.7003,0.0,0.345,0.655,-0.7003,0.0,0.392,0.608
314,14,@FoxNews,"""Live a purposeful life.""

99-year-old WWII vet Sidney Walton and his son Paul are on a cross-country tour to meet… https://t.co/Hvq273kSzw",Live a purposeful life 99 year old WWII vet Sidney Walton and his son Paul are on a cross country tour to meet,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
315,15,@FoxNews,"Protesters for Stephon Clark disrupt Sacramento City Council meeting, march to arena https://t.co/YkP3Zbj1au",Protesters for Stephon Clark disrupt Sacramento City Council meeting march to arena,-0.2263,0.0,0.137,0.863,-0.2263,0.0,0.147,0.853
316,16,@FoxNews,"""The ones that are bad need to be weeded out.""

American who escaped Al Qaeda captivity says @FBI, under Mueller an… https://t.co/1f20Ml9oDd",The ones that are bad need to be weeded out American who escaped Al Qaeda captivity says under Mueller an,-0.5423,0.0,0.143,0.857,-0.5423,0.0,0.156,0.844
317,17,@FoxNews,.@RepKinzinger: “[President @realDonaldTrump’s] actions have been outstanding up to this point. He’s been probably… https://t.co/3ZkMEuYqlF,President s actions have been outstanding up to this point He s been probably,0.6124,0.222,0.0,0.778,0.6124,0.267,0.0,0.733
318,18,@FoxNews,Capri Cafaro on proposed legislation that would ban work email after hours in NYC: “This is not part of American cu… https://t.co/Q1geHLagLU,Capri Cafaro on proposed legislation that would ban work email after hours in NYC This is not part of American cu,-0.5574,0.0,0.146,0.854,-0.5574,0.0,0.153,0.847
319,19,@FoxNews,"FBI boss Wray 'doubling' agents responding to subpoena on Clinton, McCabe, FISA abuses https://t.co/dYwvae0Gjj",FBI boss Wray doubling agents responding to subpoena on Clinton McCabe FISA abuses,-0.5574,0.0,0.217,0.783,-0.5574,0.0,0.231,0.769
320,20,@FoxNews,"Shawn Nelson, Orange County Supervisor, on sanctuary status: “It is unconstitutional.” https://t.co/Wm0g8elAio",Shawn Nelson Orange County Supervisor on sanctuary status It is unconstitutional,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
321,21,@FoxNews,Illegal immigrant Luis Bracamontes gets death penalty for slaying 2 California sheriff's deputies https://t.co/t08Kd4PUbq,Illegal immigrant Luis Bracamontes gets death penalty for slaying 2 California sheriff s deputies,-0.8885,0.0,0.512,0.488,-0.8885,0.0,0.538,0.462
322,22,@FoxNews,"Political analyst Ron Meyer: ""Democrats really care about getting services to people who are here illegally more th… https://t.co/MN2bnL0FXx",Political analyst Ron Meyer Democrats really care about getting services to people who are here illegally more th,0.5413,0.163,0.0,0.837,0.5413,0.17,0.0,0.83
